"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"22270148","4","24 Jun 2012 09:43","3079","51:19","Team B","Evil Geniuses","Earthshaker Tinker Clockwerk Chen Lone Druid","We haz Asian","Crystal Maiden Storm Spirit Windranger Ancient Apparition Chaos Knight","Team A"
"22959375","4","28 Jun 2012 09:46","3640","1:00:40","Team B","Evil Geniuses","Enigma Tinker Batrider Lycan Shadow Demon","zNation","Earthshaker Windranger Shadow Shaman Dark Seer Lone Druid","Team A"
"23152391","6","29 Jun 2012 07:22","3141","52:21","Team A","Evil Geniuses","Sand King Windranger Queen of Pain Venomancer Chen","Team Empire","Kunkka Tidehunter Lich Invoker Shadow Demon","Team B"
"23160256","6","29 Jun 2012 08:42","1295","21:35","Team A","Evil Geniuses","Bane Storm Spirit Chen Brewmaster Lone Druid","Ahead.kz","Crystal Maiden Tiny Queen of Pain Dark Seer Lycan","Team A"
"25449321","4","11 Jul 2012 07:04","3069","51:09","Team A","Evil Geniuses","Queen of Pain Lifestealer Chen Brewmaster Shadow Demon","Darer","Leshrac Weaver Invoker Lone Druid Io","Team B"
"26649858","7","17 Jul 2012 06:16","1812","30:12","Team B","Evil Geniuses","Morphling Tidehunter Enigma Shadow Demon Rubick","Darer","Leshrac Lone Druid Chaos Knight Disruptor Io","Team A"
"26658780","7","17 Jul 2012 07:29","1718","28:38","Team A","Evil Geniuses","Tidehunter Enigma Tinker Dark Seer Undying","Darer","Bane Leshrac Clinkz Chen Shadow Demon","Team A"
"27042254","4","19 Jul 2012 06:23","1401","23:21","Team A","Evil Geniuses","Enigma Venomancer Templar Assassin Brewmaster Rubick","Absolute Legends","Tidehunter Queen of Pain Leshrac Night Stalker Lone Druid","Team A"
"27051421","4","19 Jul 2012 07:05","1665","27:45","Team B","Evil Geniuses","Tinker Templar Assassin Chen Shadow Demon Rubick","Absolute Legends","Sand King Leshrac Enchantress Bounty Hunter Lone Druid","Team A"
"28705062","4","27 Jul 2012 06:24","1400","23:20","Team A","Evil Geniuses","Enigma Beastmaster Leshrac Rubick Naga Siren","mTw","Sand King Venomancer Nature's Prophet Lycan Brewmaster","Team A"
"28718127","4","27 Jul 2012 07:02","2668","44:28","Team B","Evil Geniuses","Enigma Nature's Prophet Brewmaster Shadow Demon Rubick","mTw","Crystal Maiden Morphling Sand King Venomancer Leshrac","Team A"
"29364063","7","30 Jul 2012 03:30","2109","35:09","Team A","Evil Geniuses","Morphling Tinker Venomancer Chen Rubick","Unknown Dire Team","Crystal Maiden Leshrac Bounty Hunter Brewmaster Chaos Knight","Team A"
"29375839","7","30 Jul 2012 04:34","2271","37:51","Team B","Evil Geniuses","Tidehunter Venomancer Lone Druid Undying Rubick","Unknown Radiant Team","Morphling Lina Shadow Shaman Nature's Prophet Chaos Knight","Team A"
"29393541","7","30 Jul 2012 06:08","2115","35:15","Team A","Evil Geniuses","Puck Enigma Shadow Demon Rubick Naga Siren","LGD-GAMING","Shadow Shaman Tidehunter Leshrac Nature's Prophet Chaos Knight","Team A"
"29405010","7","30 Jul 2012 07:03","2142","35:42","Team B","Evil Geniuses","Crystal Maiden Morphling Tidehunter Rubick Naga Siren","LGD-GAMING","Shadow Shaman Enigma Dragon Knight Leshrac Brewmaster","Team A"
"29413678","7","30 Jul 2012 08:06","1842","30:42","Team B","Evil Geniuses","Tidehunter Beastmaster Leshrac Enchantress Lone Druid","LGD-GAMING","Lina Enigma Dragon Knight Disruptor Naga Siren","Team A"
"29834159","4","01 Aug 2012 08:14","2258","37:38","Team A","Evil Geniuses","Axe Morphling Leshrac Dark Seer Disruptor","Storm Games Clan","Enigma Queen of Pain Ancient Apparition Lone Druid Naga Siren","Team A"
"29845352","4","01 Aug 2012 09:08","2789","46:29","Team B","Evil Geniuses","Tidehunter Tinker Beastmaster Nature's Prophet Naga Siren","Storm Games Clan","Sand King Storm Spirit Leshrac Lycan Rubick","Team A"
"30535565","9","04 Aug 2012 10:13","1704","28:24","Team B","Evil Geniuses","Tinker Beastmaster Venomancer Enchantress Lycan","Unknown Radiant Team","Crystal Maiden Sand King Tidehunter Queen of Pain Naga Siren","Team A"
"31231127","4","07 Aug 2012 08:27","1912","31:52","Team B","Evil Geniuses","Crystal Maiden Morphling Windranger Enigma Rubick","Team Quantic","Tidehunter Venomancer Leshrac Nature's Prophet Night Stalker","Team A"
"31243425","4","07 Aug 2012 09:23","2358","39:18","Team A","Evil Geniuses","Crystal Maiden Morphling Enigma Leshrac Lone Druid","Team Quantic","Shadow Shaman Lich Templar Assassin Dark Seer Rubick","Team B"
"31255675","4","07 Aug 2012 10:28","1916","31:56","Team B","Evil Geniuses","Crystal Maiden Tiny Enigma Dark Seer Disruptor","Team Quantic","Leshrac Bounty Hunter Brewmaster Shadow Demon Rubick","Team A"
"31285551","9","08 Aug 2012 01:51","2031","33:51","Team A","Evil Geniuses","Riki Venomancer Nature's Prophet Enchantress Ancient Apparition","Absolute Legends","Morphling Tidehunter Broodmother Chen Brewmaster","Team B"
"31292512","9","08 Aug 2012 02:44","1695","28:15","Team B","Evil Geniuses","Beastmaster Leshrac Jakiro Chen Lone Druid","Absolute Legends","Morphling Sand King Templar Assassin Nature's Prophet Keeper of the Light","Team A"
"31296544","9","08 Aug 2012 03:29","1799","29:59","Team A","Evil Geniuses","Mirana Sand King Tidehunter Leshrac Chen","Absolute Legends","Crystal Maiden Sven Nature's Prophet Broodmother Visage","Team A"
"31425048","7","08 Aug 2012 05:26","2825","47:05","Team B","Evil Geniuses","Windranger Lion Enigma Tinker Broodmother","DK","Morphling Beastmaster Venomancer Enchantress Rubick","Team A"
"31439307","7","08 Aug 2012 06:32","2971","49:31","Team A","Evil Geniuses","Crystal Maiden Tiny Tinker Beastmaster Chen","DK","Sand King Venomancer Faceless Void Leshrac Rubick","Team A"
"31885518","4","10 Aug 2012 05:18","1300","21:40","Team A","Evil Geniuses","Venomancer Chen Lycan Brewmaster Keeper of the Light","mousesports","Windranger Enigma Queen of Pain Nature's Prophet Lone Druid","Team A"
"31895228","4","10 Aug 2012 05:57","1740","29:00","Team B","Evil Geniuses","Morphling Tidehunter Lich Leshrac Disruptor","mousesports","Venomancer Lone Druid Rubick Naga Siren Keeper of the Light","Team B"
"31904924","4","10 Aug 2012 06:44","3207","53:27","Team B","Evil Geniuses","Windranger Nature's Prophet Chen Naga Siren Keeper of the Light","mousesports","Anti-Mage Shadow Shaman Venomancer Dark Seer Enchantress","Team B"
"32220796","9","12 Aug 2012 12:04","3552","59:12","Team A","Evil Geniuses","Venomancer Dark Seer Ancient Apparition Chaos Knight Disruptor","compLexity Gaming","Lich Beastmaster Queen of Pain Chen Invoker","Team B"
"32232139","9","12 Aug 2012 01:26","1934","32:14","Team B","Evil Geniuses","Puck Tiny Windranger Enigma Rubick","compLexity Gaming","Tidehunter Venomancer Templar Assassin Disruptor Naga Siren","Team B"
"32238051","9","12 Aug 2012 02:08","2141","35:41","Team A","Evil Geniuses","Sand King Chen Brewmaster Shadow Demon Lone Druid","compLexity Gaming","Anti-Mage Lich Beastmaster Leshrac Rubick","Team A"
"32244539","9","12 Aug 2012 03:04","1678","27:58","Team B","Evil Geniuses","Windranger Leshrac Broodmother Brewmaster Shadow Demon","compLexity Gaming","Lina Tidehunter Invoker Lone Druid Rubick","Team B"
"34147054","11","19 Aug 2012 11:25","1762","29:22","Team B","Evil Geniuses","Enigma Venomancer Lycan Lone Druid Disruptor","Potm Bottom","Lina Tidehunter Pugna Dark Seer Invoker","Team A"
"34155294","11","20 Aug 2012 12:07","1984","33:04","Team A","Evil Geniuses","Shadow Fiend Leshrac Invoker Brewmaster Disruptor","Potm Bottom","Faceless Void Death Prophet Dark Seer Chen Rubick","Team A"
"34535877","7","21 Aug 2012 03:28","3242","54:02","Team B","Evil Geniuses","Sand King Storm Spirit Tinker Leshrac Rubick","Counter Logic Gaming","Enigma Venomancer Night Stalker Broodmother Invoker","Team B"
"34551968","7","21 Aug 2012 04:41","2161","36:01","Team A","Evil Geniuses","Vengeful Spirit Tidehunter Tinker Broodmother Ancient Apparition","Counter Logic Gaming","Beastmaster Venomancer Brewmaster Shadow Demon Lone Druid","Team B"
"35811738","65001","26 Aug 2012 06:17","1904","31:44","Team B","Evil Geniuses","Pugna Leshrac Broodmother Lone Druid Disruptor","DK","Morphling Shadow Shaman Nature's Prophet Brewmaster Rubick","Team B"
"35819591","65001","26 Aug 2012 07:14","2339","38:59","Team A","Evil Geniuses","Venomancer Leshrac Enchantress Night Stalker Lycan","DK","Crystal Maiden Earthshaker Morphling Windranger Invoker","Team B"
"35860032","65001","26 Aug 2012 11:39","1588","26:28","Team B","Evil Geniuses","Enigma Brewmaster Chaos Knight Rubick Io","LGD-GAMING","Morphling Sand King Beastmaster Venomancer Invoker","Team B"
"35865209","65001","27 Aug 2012 12:20","1445","24:05","Team A","Evil Geniuses","Juggernaut Enigma Venomancer Invoker Lone Druid","LGD-GAMING","Morphling Queen of Pain Leshrac Chaos Knight Rubick","Team B"
"35887029","65001","27 Aug 2012 04:01","1590","26:30","Team B","Evil Geniuses","Windranger Venomancer Chen Lycan Chaos Knight","Zenith","Enigma Nature's Prophet Enchantress Brewmaster Lone Druid","Team A"
"35891619","65001","27 Aug 2012 04:50","1402","23:22","Team A","Evil Geniuses","Storm Spirit Venomancer Enchantress Lycan Keeper of the Light","Zenith","Tidehunter Dragon Knight Nature's Prophet Weaver Chen","Team A"
"36028658","65001","27 Aug 2012 06:12","3122","52:02","Team A","Evil Geniuses","Tinker Leshrac Nature's Prophet Enchantress Night Stalker","Absolute Legends","Morphling Sand King Storm Spirit Chen Shadow Demon","Team B"
"36039771","65001","27 Aug 2012 07:19","1516","25:16","Team B","Evil Geniuses","Windranger Enigma Venomancer Brewmaster Lone Druid","Absolute Legends","Tidehunter Tinker Nature's Prophet Chen Shadow Demon","Team B"
"36075732","65001","27 Aug 2012 11:07","1589","26:29","Team A","Evil Geniuses","Morphling Sand King Bounty Hunter Invoker Shadow Demon","mousesports","Anti-Mage Shadow Shaman Venomancer Nature's Prophet Broodmother","Team A"
"36082092","65001","27 Aug 2012 11:55","1878","31:18","Team B","Evil Geniuses","Bane Morphling Tidehunter Enigma Invoker","mousesports","Crystal Maiden Tiny Windranger Queen of Pain Lycan","Team A"
"36098103","65001","28 Aug 2012 02:20","1335","22:15","Team A","Evil Geniuses","Crystal Maiden Morphling Sand King Bounty Hunter Chen","Moscow Five","Lich Venomancer Broodmother Invoker Lone Druid","Team A"
